000001,quote_date,000012,000013,000016,000300,000903,000905,399001,399006,AXJO,DJI,FCHI,GDAXI,GSPC,GSPTSE,IPSA,IXIC,KS11,MICEXINDEXCF.ME,N225,NYA,RUT,TWII,VIX,XAX
3041.44,2018-05-30,164.68,217.63,2605.9,3723.37,3772.24,5682.59,10105.79,1726.22,5984.70019531,24667.7792969,5427.35009766,12783.7597656,2724.01000977,16048.7001953,5484.89990234,7462.45019531,2409.0300293,2297.60009766,22018.5195312,12625.8701172,1647.98999023,10821.1699219,14.9399995804,2778.43994141
3120.46,2018-05-29,164.64,217.59,2663.4,3804.01,3847.59,5835.45,10349.07,1773.65,6013.60009766,24361.4492188,5438.06005859,12666.5097656,2689.86010742,15922.5996094,5494.50976562,7396.58984375,2457.25,2298.0,22358.4296875,12442.6904297,1623.65002441,10964.1201172,17.0200004578,2704.36010742
3135.08,2018-05-28,164.65,217.58,2673.2,3833.26,3873.67,5891.26,10465.54,1796.91,6004.0,,5508.93017578,12863.4599609,,16016.0996094,5570.04980469,,2478.95996094,2311.2800293,22481.0898438,,,10987.7695312,,
3141.3,2018-05-25,164.57,217.5,2661.29,3816.5,3851.49,5917.8,10448.22,1804.55,6032.79980469,24753.0898438,5542.54980469,12938.0097656,2721.33007812,16075.7001953,5576.47998047,7433.85009766,2460.80004883,2306.57006836,22450.7890625,12634.9404297,1626.93005371,10942.2998047,13.220000267,2679.10009766
3154.65,2018-05-24,164.54,217.51,2665.68,3827.22,3855.3,5992.62,10564.13,1838.4,6037.10009766,24811.7597656,5548.45019531,12855.0898438,2727.76000977,16113.5996094,5577.29980469,7424.43017578,2466.01000977,2294.01000977,22437.0097656,12696.6904297,1628.2199707,10936.9296875,12.529999733,2697.38989258
3168.96,2018-05-23,164.53,217.47,2683.69,3854.58,3884.5,6013.85,10631.12,1845.97,6032.5,24886.8105469,5565.85009766,12976.8398438,2733.29003906,16133.7998047,5612.58984375,7425.95996094,2471.90991211,2295.57006836,22689.7402344,12743.4003906,1627.60998535,10886.1796875,12.5799999237,2708.93994141
3214.35,2018-05-22,164.51,217.45,2728.0,3906.21,3941.41,6092.91,10765.8,1876.0,6041.89990234,24834.4101562,5640.10009766,13169.9199219,2724.43994141,16144.7998047,5651.10009766,7378.45996094,,2326.87011719,22960.3398438,12766.6503906,1625.23999023,10938.7304688,13.220000267,2711.95996094
3213.84,2018-05-21,164.46,217.47,2745.8,3921.24,3966.34,6072.2,10765.35,1862.48,6084.5,25013.2890625,5637.50976562,,2733.01000977,,,7394.04003906,2465.57006836,2332.62988281,23002.3691406,12804.0097656,1637.43994141,10966.2001953,13.0799999237,2735.12988281
3193.3,2018-05-18,164.35,217.4,2740.53,3903.06,3956.68,5995.15,10672.52,1836.75,6087.39990234,24715.0898438,5614.50976562,13077.7197266,2712.9699707,16162.2998047,5667.85986328,7354.33984375,2460.64990234,2326.93994141,22930.359375,12717.4199219,1626.63000488,10830.8398438,13.4200000763,2720.19995117
3154.28,2018-05-17,164.31,217.38,2700.88,3864.05,3907.43,5973.78,10635.5,1831.2,6094.29980469,24713.9804688,5621.91992188,13114.6103516,2720.12988281,16143.5996094,5689.45019531,7382.47021484,2448.44995117,2323.51000977,22838.3691406,12747.8300781,1625.29003906,10833.8095703,13.4300003052,2720.35009766
3169.57,2018-05-16,164.32,217.37,2716.78,3892.84,3936.09,6004.07,10701.32,1846.67,6107.0,24768.9296875,5567.54003906,12996.3300781,2722.45996094,16108.0996094,5727.85986328,7398.29980469,2459.82006836,2338.38989258,22717.2304688,12743.7998047,1616.36999512,10897.5703125,13.4200000763,2706.89990234
3192.12,2018-05-15,164.28,217.35,2750.83,3924.1,3977.9,6020.57,10747.99,1858.01,6097.79980469,24706.4101562,5553.16015625,12970.0400391,2711.44995117,16097.7998047,5710.85986328,7351.62988281,2458.54003906,2337.0300293,22818.0195312,12704.6298828,1600.33996582,10874.7304688,14.6300001144,2699.54003906
